id,election_id,upper_tier,lower_tier,current_council,year,ward_id,ward_name,candidate,party,vote,female,vacancies,rank,electorate,ballots_cast,turnout,vote_share,source,notes,,,,,,
wir_b_054,1973wir_b_1007,Merseyside,Wirral,Wirral,1973,wir_b_1007,Birkenhead: Cathcart Claughton Cleveland,Roberts,LAB,1034,0,3,6,9993,12801,42.69989,24.23248,,,,,,,,
wir_b_055,1973wir_b_1007,Merseyside,Wirral,Wirral,1973,wir_b_1007,Birkenhead: Cathcart Claughton Cleveland,Smith W.,LAB,1010,0,3,7,9993,12801,42.69989,23.67002,,,,,,,,
wir_b_056,1973wir_b_1007,Merseyside,Wirral,Wirral,1973,wir_b_1007,Birkenhead: Cathcart Claughton Cleveland,Rimmer,LAB,1008,0,3,8,9993,12801,42.69989,23.62315,,,,,,,,
wir_b_057,1973wir_b_1007,Merseyside,Wirral,Wirral,1973,wir_b_1007,Birkenhead: Cathcart Claughton Cleveland,Gaughan,CON,970,0,3,9,9993,12801,42.69989,22.7326,,,,,,,,
wir_b_058,1973wir_b_1008,Merseyside,Wirral,Wirral,1973,wir_b_1008,Birkenhead: Devonshire & Egerton,Hughes E.,Lib,2187,1,3,1,12464,14228,38.05092,46.1133,,,,,,,,
wir_b_059,1973wir_b_1008,Merseyside,Wirral,Wirral,1973,wir_b_1008,Birkenhead: Devonshire & Egerton,Hughes,Lib,1855,0,3,2,12464,14228,38.05092,39.11302,,,,,,,,
wir_b_060,1973wir_b_1008,Merseyside,Wirral,Wirral,1973,wir_b_1008,Birkenhead: Devonshire & Egerton,Attwood,Lib,1680,0,3,3,12464,14228,38.05092,35.42311,,,,,,,,
wir_b_061,1973wir_b_1008,Merseyside,Wirral,Wirral,1973,wir_b_1008,Birkenhead: Devonshire & Egerton,Fletcher,CON,1591,0,3,4,12464,14228,38.05092,33.54653,,,,,,,,
wir_b_062,1973wir_b_1008,Merseyside,Wirral,Wirral,1973,wir_b_1008,Birkenhead: Devonshire & Egerton,Baker,CON,1543,0,3,5,12464,14228,38.05092,32.53444,,,,,,,,
wir_b_063,1973wir_b_1008,Merseyside,Wirral,Wirral,1973,wir_b_1008,Birkenhead: Devonshire & Egerton,Allen K.,CON,1502,0,3,6,12464,14228,38.05092,31.66995,,,,,,,,
wir_b_064,1973wir_b_1008,Merseyside,Wirral,Wirral,1973,wir_b_1008,Birkenhead: Devonshire & Egerton,Keegan,LAB,1392,0,3,7,12464,14228,38.05092,29.35058,,,,,,,,
wir_b_065,1973wir_b_1008,Merseyside,Wirral,Wirral,1973,wir_b_1008,Birkenhead: Devonshire & Egerton,Bagnall,LAB,1253,0,3,8,12464,14228,38.05092,26.41973,,,,,,,,
wir_b_066,1973wir_b_1008,Merseyside,Wirral,Wirral,1973,wir_b_1008,Birkenhead: Devonshire & Egerton,Bagnall,LAB,1225,0,3,9,12464,14228,38.05092,25.82935,,,,,,,,
wir_b_067,1973wir_b_1009,Merseyside,Wirral,Wirral,1973,wir_b_1009,Birkenhead: Gilbrook & St. James,Flynn J.,LAB,2047,0,3,1,9030,9786,36.12403,62.75291,,,,,,,,
wir_b_068,1973wir_b_1009,Merseyside,Wirral,Wirral,1973,wir_b_1009,Birkenhead: Gilbrook & St. James,Roberts P.,LAB,1996,1,3,2,9030,9786,36.12403,61.18945,,,,,,,,
wir_b_069,1973wir_b_1009,Merseyside,Wirral,Wirral,1973,wir_b_1009,Birkenhead: Gilbrook & St. James,Roberts,LAB,1922,0,3,3,9030,9786,36.12403,58.92091,,,,,,,,
wir_b_070,1973wir_b_1009,Merseyside,Wirral,Wirral,1973,wir_b_1009,Birkenhead: Gilbrook & St. James,Hayes,Lib,1044,0,3,4,9030,9786,36.12403,32.00491,,,,,,,,
wir_b_071,1973wir_b_1009,Merseyside,Wirral,Wirral,1973,wir_b_1009,Birkenhead: Gilbrook & St. James,Lea,Lib,987,0,3,5,9030,9786,36.12403,30.25751,,,,,,,,
wir_b_072,1973wir_b_1009,Merseyside,Wirral,Wirral,1973,wir_b_1009,Birkenhead: Gilbrook & St. James,Ashman,Lib,905,0,3,6,9030,9786,36.12403,27.74372,,,,,,,,
wir_b_073,1973wir_b_1009,Merseyside,Wirral,Wirral,1973,wir_b_1009,Birkenhead: Gilbrook & St. James,Briggs,CON,325,0,3,7,9030,9786,36.12403,9.963213,,,,,,,,
wir_b_074,1973wir_b_1009,Merseyside,Wirral,Wirral,1973,wir_b_1009,Birkenhead: Gilbrook & St. James,Menio,CON,305,0,3,8,9030,9786,36.12403,9.350092,,,,,,,,
wir_b_075,1973wir_b_1009,Merseyside,Wirral,Wirral,1973,wir_b_1009,Birkenhead: Gilbrook & St. James,Emsden,CON,255,0,3,9,9030,9786,36.12403,7.81729,,,,,,,,
wir_b_076,1973wir_b_1010,Merseyside,Wirral,Wirral,1973,wir_b_1010,Birkenhead: Grange & Oxton,Lindsay G.,Lib,2651,0,3,1,12348,14512,39.17503,54.80292,,,,,,,,
wir_b_077,1973wir_b_1010,Merseyside,Wirral,Wirral,1973,wir_b_1010,Birkenhead: Grange & Oxton,Halliday A.,Lib,2212,0,3,2,12348,14512,39.17503,45.72767,,,,,,,,
wir_b_078,1973wir_b_1010,Merseyside,Wirral,Wirral,1973,wir_b_1010,Birkenhead: Grange & Oxton,Truffet,Lib,2206,0,3,3,12348,14512,39.17503,45.60364,,,,,,,,
wir_b_079,1973wir_b_1010,Merseyside,Wirral,Wirral,1973,wir_b_1010,Birkenhead: Grange & Oxton,Pyke,CON,1731,0,3,4,12348,14512,39.17503,35.78418,,,,,,,,
wir_b_080,1973wir_b_1010,Merseyside,Wirral,Wirral,1973,wir_b_1010,Birkenhead: Grange & Oxton,Porter,CON,1697,0,3,5,12348,14512,39.17503,35.08131,,,,,,,,
wir_b_081,1973wir_b_1010,Merseyside,Wirral,Wirral,1973,wir_b_1010,Birkenhead: Grange & Oxton,Lea,CON,1549,0,3,6,12348,14512,39.17503,32.02177,,,,,,,,
wir_b_082,1973wir_b_1010,Merseyside,Wirral,Wirral,1973,wir_b_1010,Birkenhead: Grange & Oxton,Leeper,LAB,863,0,3,7,12348,14512,39.17503,17.84041,,,,,,,,
wir_b_083,1973wir_b_1010,Merseyside,Wirral,Wirral,1973,wir_b_1010,Birkenhead: Grange & Oxton,Armstrong,LAB,839,0,3,8,12348,14512,39.17503,17.34427,,,,,,,,
wir_b_084,1973wir_b_1010,Merseyside,Wirral,Wirral,1973,wir_b_1010,Birkenhead: Grange & Oxton,Smith,LAB,764,0,3,9,12348,14512,39.17503,15.79383,,,,,,,,
wir_b_085,1973wir_b_1011,Merseyside,Wirral,Wirral,1973,wir_b_1011,Birkenhead: Prenton,Baker M.,CON,2846,0,3,1,15882,15435,32.39516,55.31584,,,,,,,,
wir_b_086,1973wir_b_1011,Merseyside,Wirral,Wirral,1973,wir_b_1011,Birkenhead: Prenton,Deverill H.,CON,2820,0,3,2,15882,15435,32.39516,54.8105,,,,,,,,
wir_b_087,1973wir_b_1011,Merseyside,Wirral,Wirral,1973,wir_b_1011,Birkenhead: Prenton,Pattinson,CON,2729,0,3,3,15882,15435,32.39516,53.04179,,,,,,,,
wir_b_088,1973wir_b_1011,Merseyside,Wirral,Wirral,1973,wir_b_1011,Birkenhead: Prenton,Llewellyn,LAB,2335,0,3,4,15882,15435,32.39516,45.38387,,,,,,,,
wir_b_089,1973wir_b_1011,Merseyside,Wirral,Wirral,1973,wir_b_1011,Birkenhead: Prenton,Muir,LAB,2244,0,3,5,15882,15435,32.39516,43.61516,,,,,,,,
wir_b_090,1973wir_b_1011,Merseyside,Wirral,Wirral,1973,wir_b_1011,Birkenhead: Prenton,Ainslie,LAB,2142,0,3,6,15882,15435,32.39516,41.63265,,,,,,,,
wir_b_091,1973wir_b_1011,Merseyside,Wirral,Wirral,1973,wir_b_1011,Birkenhead: Prenton,Connolly,Ind Soc,319,0,3,7,15882,15435,32.39516,6.200194,,,,,,,,
wir_b_092,1973wir_b_1012,Merseyside,Wirral,Wirral,1973,wir_b_1012,Birkenhead: Upton,Hibbert S.,CON,2691,1,3,1,19861,16032,26.907,50.35554,,,,,,,,
wir_b_093,1973wir_b_1012,Merseyside,Wirral,Wirral,1973,wir_b_1012,Birkenhead: Upton,Lowe,CON,2678,0,3,2,19861,16032,26.907,50.11227,,,,,,,,
wir_b_094,1973wir_b_1012,Merseyside,Wirral,Wirral,1973,wir_b_1012,Birkenhead: Upton,Roberts J.,CON,2654,0,3,3,19861,16032,26.907,49.66317,,,,,,,,
wir_b_095,1973wir_b_1012,Merseyside,Wirral,Wirral,1973,wir_b_1012,Birkenhead: Upton,Harland,LAB,2584,0,3,4,19861,16032,26.907,48.35329,,,,,,,,
wir_b_096,1973wir_b_1012,Merseyside,Wirral,Wirral,1973,wir_b_1012,Birkenhead: Upton,Gilfoyle B.,LAB,2548,0,3,5,19861,16032,26.907,47.67964,,,,,,,,
wir_b_097,1973wir_b_1012,Merseyside,Wirral,Wirral,1973,wir_b_1012,Birkenhead: Upton,Owen,LAB,2375,0,3,6,19861,16032,26.907,44.44236,,,,,,,,
wir_b_098,1973wir_b_1012,Merseyside,Wirral,Wirral,1973,wir_b_1012,Birkenhead: Upton,Dean,RES,315,0,3,7,19861,16032,26.907,5.894461,,,,,,,,
wir_b_099,1973wir_b_1012,Merseyside,Wirral,Wirral,1973,wir_b_1012,Birkenhead: Upton,Thompson,Comm,187,0,3,8,19861,16032,26.907,3.499252,,,,,,,,
wir_b_100,1973wir_b_1013,Merseyside,Wirral,Wirral,1973,wir_b_1013,Hoylake: Caldy & Frankby,Lloyd W.,CON,3499,0,3,1,12685,13655,35.88227,76.87294,,,,,,,,
wir_b_101,1973wir_b_1013,Merseyside,Wirral,Wirral,1973,wir_b_1013,Hoylake: Caldy & Frankby,Burrows,CON,3483,0,3,2,12685,13655,35.88227,76.52142,,,,,,,,
wir_b_102,1973wir_b_1013,Merseyside,Wirral,Wirral,1973,wir_b_1013,Hoylake: Caldy & Frankby,Cumpstey R.,CON,3481,0,3,3,12685,13655,35.88227,76.47748,,,,,,,,
wir_b_103,1973wir_b_1013,Merseyside,Wirral,Wirral,1973,wir_b_1013,Hoylake: Caldy & Frankby,Kelly,LAB,1092,0,3,4,12685,13655,35.88227,23.99121,,,,,,,,
wir_b_104,1973wir_b_1013,Merseyside,Wirral,Wirral,1973,wir_b_1013,Hoylake: Caldy & Frankby,Pennington,LAB,1082,0,3,5,12685,13655,35.88227,23.77151,,,,,,,,
wir_b_105,1973wir_b_1013,Merseyside,Wirral,Wirral,1973,wir_b_1013,Hoylake: Caldy & Frankby,Porter,LAB,1018,0,3,6,12685,13655,35.88227,22.36543,,,,,,,,
wir_b_106,1973wir_b_1014,Merseyside,Wirral,Wirral,1973,wir_b_1014,Hoylake: Central Hoose Meols Park,Whitehurst W.,CON,3754,0,3,1,11993,15968,44.38144,70.52856,,,,,,,,
wir_b_107,1973wir_b_1014,Merseyside,Wirral,Wirral,1973,wir_b_1014,Hoylake: Central Hoose Meols Park,Jones F.,CON,3624,0,3,2,11993,15968,44.38144,68.08617,,,,,,,,
wir_b_108,1973wir_b_1014,Merseyside,Wirral,Wirral,1973,wir_b_1014,Hoylake: Central Hoose Meols Park,Thomas J.,Lib,3378,0,3,3,11993,15968,44.38144,63.46443,,,,,,,,
