id,election_id,upper_tier,lower_tier,current_council,year,ward_id,ward_name,candidate,party,vote,female,vacancies,rank,electorate,ballots_cast,turnout,vote_share,source,note,,,,,,
whis_062,1952whis2001,,Whiston,,1952,whis2001,Bold North,W. Hancock,Ind,131,0,1,2,,429,,30.53613,,,,,,,,
whis_063,1952whis2002,,Whiston,,1952,whis2002,Bold South,J. Quinn,Lab,263,0,1,1,,505,,52.07921,,,,,,,,
whis_064,1952whis2002,,Whiston,,1952,whis2002,Bold South,H. R. Whitfield,Con,242,0,1,2,,505,,47.92079,,,,,,,,
whis_065,1952whis2003,,Whiston,,1952,whis2003,Cronton,G. Coupe,Con,237,0,1,1,,346,,68.49711,,,,,,,,
whis_066,1952whis2003,,Whiston,,1952,whis2003,Cronton,J. Williams,Lab,109,0,1,2,,346,,31.50289,,,,,,,,
whis_067,1952whis2004,,Whiston,,1952,whis2004,Eccleston East,J. T Harley,Con,Unop,0,1,,,0,,,,,,,,,,
whis_068,1952whis2005,,Whiston,,1952,whis2005,Eccleston South,S. C. Banks,Con,Unop,0,1,,,0,,,,,,,,,,
whis_069,1952whis2006,,Whiston,,1952,whis2006,Eccleston West,J. Rainford,Con,Unop,0,1,,,0,,,,,,,,,,
whis_070,1952whis2007,,Whiston,,1952,whis2007,Hale,J. E. Mills,Ind-Con,Unop,0,1,,,0,,,,,,,,,,
whis_071,1952whis2008,,Whiston,,1952,whis2008,Halewood North,F. J. Lunt,Ind-Con,Unop,0,1,,,0,,,,,,,,,,
whis_072,1952whis2009,,Whiston,,1952,whis2009,Halewood South,T. R. Carter,Ind,Unop,0,1,,,0,,,,,,,,,,
whis_073,1952whis2010,,Whiston,,1952,whis2010,Kirkby East,R. J. Diggles,Con,Unop,0,1,,,0,,,,,,,,,,
whis_074,1952whis2011,,Whiston,,1952,whis2011,Kirkby West,C. S. Powell,Con,Unop,0,1,,,0,,,,,,,,,,
whis_075,1952whis2012,,Whiston,,1952,whis2012,Knowsley Central,T. Rose,Con,Unop,0,1,,,0,,,,,,,,,,
whis_076,1952whis2013,,Whiston,,1952,whis2013,Knowsley North,Miss L. Tope,Lab,319,1,1,1,,573,,55.6719,,,,,,,,
whis_077,1952whis2013,,Whiston,,1952,whis2013,Knowsley North,H. Stacey,R.A.,254,0,1,2,,573,,44.3281,,,,,,,,
whis_078,1952whis2014,,Whiston,,1952,whis2014,Knowsley South,S. C. Reakes,Con,Unop,0,1,,,0,,,,,,,,,,
whis_079,1952whis2015,,Whiston,,1952,whis2015,Rainhill North,Mrs K. Miller,Con,337,1,1,1,,598,,56.35452,,,,,,,,
whis_080,1952whis2015,,Whiston,,1952,whis2015,Rainhill North,P. Johnson,Lab,261,0,1,2,,598,,43.64548,,,,,,,,
whis_081,1952whis2016,,Whiston,,1952,whis2016,Rainhill South,J. H. Welsby,Con,451,0,1,1,,626,,72.04473,,,,,,,,
whis_082,1952whis2016,,Whiston,,1952,whis2016,Rainhill South,J. A. Sweeney,???,175,0,1,2,,626,,27.95527,,,,,,,,
whis_083,1952whis2017,,Whiston,,1952,whis2017,Rainhill West,R. Berry,Lab,677,0,1,1,,832,,81.37019,,,,,,,,
whis_084,1952whis2017,,Whiston,,1952,whis2017,Rainhill West,D. S. Gass,Con,155,0,1,2,,832,,18.62981,,,,,,,,
whis_085,1952whis2018,,Whiston,,1952,whis2018,Tarbock,T. H. Critchley,Ind,Unop,0,1,,,0,,,,,,,,,,
whis_086,1952whis2019,,Whiston,,1952,whis2019,Whiston Central,T. Henry,Lab,583,0,1,1,,781,,74.64789,,,,,,,,
whis_087,1952whis2019,,Whiston,,1952,whis2019,Whiston Central,J. Hayes,???,198,0,1,2,,781,,25.35211,,,,,,,,
whis_088,1952whis2020,,Whiston,,1952,whis2020,Whiston North,S. Brich,Lab,438,0,1,1,,687,,63.75546,,,,,,,,
whis_089,1952whis2020,,Whiston,,1952,whis2020,Whiston North,W. J. McEllin,Con,249,0,1,2,,687,,36.24454,,,,,,,,
whis_090,1952whis2021,,Whiston,,1952,whis2021,Whiston South,T. Teasdale,Lab,269,0,1,1,,430,,62.55814,,,,,,,,
whis_091,1952whis2021,,Whiston,,1952,whis2021,Whiston South,V. D. R. Goodhew,Con,161,0,1,2,,430,,37.44186,,,,,,,,
whis_092,1952whis2022,,Whiston,,1952,whis2022,Windle North,R. Fitzpatrick,Con,Unop,0,1,,,0,,,,,,,,,,
whis_093,1952whis2023,,Whiston,,1952,whis2023,Windle South,H. Leadhill,Con,Unop,0,1,,,0,,,,,,,,,,
whis_094,1953whis2001,,Whiston,,1953,whis2001,Bold North,W. H. Lewis,Lab,Unop,0,1,,,0,,,,,,,,,,
whis_095,1953whis2006,,Whiston,,1953,whis2006,Eccleston West,J. Rainford,Con,Unop,0,1,,,0,,,,,,,,,,
whis_096,1953whis2008,,Whiston,,1953,whis2008,Halewood North,F. J. Lunt,Ind,Unop,0,1,,,0,,,,,,,,,,
whis_097,1953whis2011,,Whiston,,1953,whis2011,Kirkby West,C. S. Powell,Con,Unop,0,1,,,0,,,,,,,,,,
whis_098,1953whis2013,,Whiston,,1953,whis2013,Knowsley North,Miss L. Tope,Lab,Unop,1,1,,,0,,,,,,,,,,
whis_099,1953whis2017,,Whiston,,1953,whis2017,Rainhill West,R. Berry,Lab,Unop,0,1,,,0,,,,,,,,,,
whis_100,1953whis2020,,Whiston,,1953,whis2020,Whiston North,S. Brich,Lab,Unop,0,1,,,0,,,,,,,,,,
whis_101,1953whis2022,,Whiston,,1953,whis2022,Windle North,T. Wilcock,Lab,503,0,1,1,,929,,54.14424,,,,,,,,
whis_102,1953whis2022,,Whiston,,1953,whis2022,Windle North,R. Fitzpatrick,Con,426,0,1,2,,929,,45.85576,,,,,,,,
whis_103,1954whis2002,,Whiston,,1954,whis2002,Bold South,John Quinn,Lab,Unop,0,1,,,0,,,,,,,,,,
whis_104,1954whis2004,,Whiston,,1954,whis2004,Eccleston East,J. T. Hartley,Con,Unop,0,1,,,0,,,,,,,,,,
whis_105,1954whis2009,,Whiston,,1954,whis2009,Halewood South,K. D. Wadsworth,Ind,399,0,1,1,,601,,66.38935,,,,,,,,
whis_106,1954whis2009,,Whiston,,1954,whis2009,Halewood South,Mrs B. Shepherd,Con,202,1,1,2,,601,,33.61065,,,,,,,,
whis_107,1954whis2010,,Whiston,,1954,whis2010,Kirkby East,James Wylie,Lab,610,0,1,1,,996,,61.24498,,,,,,,,
whis_108,1954whis2010,,Whiston,,1954,whis2010,Kirkby East,Mrs E. G. Milburn,Con,386,1,1,2,,996,,38.75502,,,,,,,,
whis_109,1954whis2014,,Whiston,,1954,whis2014,Knowsley South,William Myers,Lab,723,0,1,1,,1217,,59.40838,,,,,,,,
whis_110,1954whis2014,,Whiston,,1954,whis2014,Knowsley South,Samuel Edwards,Con,494,0,1,2,,1217,,40.59162,,,,,,,,
whis_111,1954whis2015,,Whiston,,1954,whis2015,Rainhill North,Mrs Kathlyn Miller,Con,395,1,1,1,,782,,50.51151,,,,,,,,
whis_112,1954whis2015,,Whiston,,1954,whis2015,Rainhill North,Percy Johnson,Lab,387,0,1,2,,782,,49.48849,,,,,,,,
whis_113,1954whis2019,,Whiston,,1954,whis2019,Whiston Central,T. Henry,Lab,Unop,1,1,,,0,,,,,,,,,,
whis_114,1955whis2018,,Whiston,,1955,whis2018,Tarbock,T. H. Critchley,Ind,Unop,0,1,,,0,,,,,,,,,,
whis_115,1955whis2021,,Whiston,,1955,whis2021,Whiston South,Jospeh Williams,Lab,373,0,1,1,,526,,70.91254,,,,,,,,
whis_116,1955whis2021,,Whiston,,1955,whis2021,Whiston South,William J. Trickett,Con,153,0,1,2,,526,,29.08745,,,,,,,,
whis_117,1955whis2024,,Whiston,,1955,whis2024,Kirkby South,Ian Kennedy Robertson,Lab,509,0,1,1,,794,,64.1058,,,,,,,,
whis_118,1955whis2024,,Whiston,,1955,whis2024,Kirkby South,Alan McGregor,Con,285,0,1,2,,794,,35.89421,,,,,,,,
whis_119,1956whis2001,,Whiston,,1956,whis2001,Bold North,W. H. Lewis,Lab,Unop,0,1,,,0,,,,,,,,,,
whis_120,1956whis2006,,Whiston,,1956,whis2006,Eccleston West,J. Rainford,Con,Unop,0,1,,,0,,,,,,,,,,
whis_121,1956whis2008,,Whiston,,1956,whis2008,Halewood North,F. J. Lunt,Ind,Unop,0,1,,,0,,,,,,,,,,
whis_122,1956whis2011,,Whiston,,1956,whis2011,Kirkby West,C. S. Powell,Con,432,0,1,1,,498,,86.74699,,,,,,,,
whis_123,1956whis2011,,Whiston,,1956,whis2011,Kirkby West,J. O'Neill,,66,0,1,2,,498,,13.25301,,,,,,,,
whis_124,1956whis2013,,Whiston,,1956,whis2013,Knowsley North,R. Patrick,Lab,Unop,0,1,,,0,,,,,,,,,,
whis_125,1956whis2017,,Whiston,,1956,whis2017,Rainhill West,R. Berry,Lab,Unop,0,1,,,0,,,,,,,,,,
whis_126,1956whis2020,,Whiston,,1956,whis2020,Whiston North,S. Brich,Lab,Unop,0,1,,,0,,,,,,,,,,
whis_127,1957whis2009,,Whiston,,1957,whis2009,Halewood South,H. G. Pealing,,Unop,0,1,,,0,,,,,,,,,,
whis_128,1957whis2010,,Whiston,,1957,whis2010,Kirkby East,J. Wylie,Lab,Unop,0,1,,,0,,,,,,,,,,
whis_129,1957whis2014,,Whiston,,1957,whis2014,Knowsley South,A. Smith,Lab,562,0,1,1,,790,,71.13924,,,,,,,,
whis_130,1957whis2014,,Whiston,,1957,whis2014,Knowsley South,R. G. Whiteway,Ind,228,0,1,2,,790,,28.86076,,,,,,,,
whis_131,1957whis2015,,Whiston,,1957,whis2015,Rainhill North,J. Wainwright,Ind,367,0,1,1,,669,,54.858,,,,,,,,
whis_132,1957whis2015,,Whiston,,1957,whis2015,Rainhill North,W. Myers,Lab,302,0,1,2,,669,,45.142,,,,,,,,
whis_133,1957whis2019,,Whiston,,1957,whis2019,Whiston Central,W. M. Clarke,,Unop,,1,,,0,,,,,,,,,,
whis_134,1958whis3003,,Whiston,,1958,whis3003,Cronton,H. Coupe,,147,0,1,1,,228,,64.47369,Liverpool Daily Post 1958-05-06 p.7,,,,,,,
whis_135,1958whis3003,,Whiston,,1958,whis3003,Cronton,L. G. Nolan,Lab,81,0,1,2,,228,,35.52632,Liverpool Daily Post 1958-05-06 p.7,,,,,,,
whis_136,1958whis3004,,Whiston,,1958,whis3004,Eccleston East,H. E. Moody,,Unop,0,1,,,0,,,Liverpool Daily Post 1958-05-06 p.7,,,,,,,
whis_137,1958whis3005,,Whiston,,1958,whis3005,Eccleston South,S. C. Reakes,,Unop,0,1,,,0,,,Liverpool Daily Post 1958-05-06 p.7,,,,,,,
whis_138,1958whis3006,,Whiston,,1958,whis3006,Eccleston West,J. Rainford,,Unop,0,1,,,0,,,Liverpool Daily Post 1958-05-06 p.7,,,,,,,
whis_139,1958whis3007,,Whiston,,1958,whis3007,Hale,J. H. Mills,,Unop,0,1,,,0,,,Liverpool Daily Post 1958-05-06 p.7,,,,,,,
whis_140,1958whis3018,,Whiston,,1958,whis3018,Tarbock,T. H. Critchley,Ind,Unop,0,1,,,0,,,Liverpool Daily Post 1958-05-06 p.7,,,,,,,
whis_141,1958whis3022,,Whiston,,1958,whis3022,Windle,H. Ledhill,,Unop,0,1,,,0,,,Liverpool Daily Post 1958-05-06 p.7,,,,,,,
whis_142,1959whis3001,,Whiston,,1959,whis3001,Bold North,W. H. Lewis,Lab,Unop,0,1,,,0,,,Liverpool Daily Post 1959-05-05 p.7,,,,,,,
whis_143,1959whis3002,,Whiston,,1959,whis3002,Bold South,J. Quinn,Lab,Unop,0,1,,,0,,,Liverpool Daily Post 1959-05-05 p.7,,,,,,,
whis_144,1959whis3008,,Whiston,,1959,whis3008,Halewood North,F. J. Lunt,Ind,Unop,0,1,,,0,,,Liverpool Daily Post 1959-05-05 p.7,,,,,,,
whis_145,1959whis3009,,Whiston,,1959,whis3009,Halewood South,H. J. Pealing,,Unop,0,1,,,0,,,Liverpool Daily Post 1959-05-05 p.7,,,,,,,
whis_146,1959whis3012,,Whiston,,1959,whis3012,Knowsley Central,T. Rose,Con,301,0,1,1,,318,,94.65409,Liverpool Daily Post 1959-05-05 p.7,,,,,,,
whis_147,1959whis3012,,Whiston,,1959,whis3012,Knowsley Central,F. J. Bowman,,17,0,1,2,,318,,5.345912,Liverpool Daily Post 1959-05-05 p.7,,,,,,,
whis_148,1959whis3013,,Whiston,,1959,whis3013,Knowsley North,A. Smith,Lab,Unop,0,1,,,0,,,Liverpool Daily Post 1959-05-05 p.7,,,,,,,
whis_149,1959whis3014,,Whiston,,1959,whis3014,Knowsley South,B. Glennon,,Unop,0,1,,,0,,,Liverpool Daily Post 1959-05-05 p.7,,,,,,,
whis_150,1960whis3015,,Whiston,,1960,whis3015,Rainhill North,J. Wainwright,Con,478,0,1,1,,697,,68.57963,Liverpool Daily Post 1960-05-10 p.7,,,,,,,
whis_151,1960whis3015,,Whiston,,1960,whis3015,Rainhill North,K. Lea,Lab,219,0,1,2,,697,,31.42037,Liverpool Daily Post 1960-05-10 p.7,,,,,,,
whis_152,1960whis3016,,Whiston,,1960,whis3016,Rainhill South,J. H. Welsby,Con,Unop,0,1,,,0,,,Liverpool Daily Post 1960-05-10 p.7,,,,,,,
whis_153,1960whis3017,,Whiston,,1960,whis3017,Rainhill West,R. Berry,Lab,Unop,0,1,,,0,,,Liverpool Daily Post 1960-05-10 p.7,,,,,,,
whis_154,1960whis3019,,Whiston,,1960,whis3019,Whiston Central,W. M. Clarke,Lab,203,0,1,1,,341,,59.53079,Liverpool Daily Post 1960-05-10 p.7,,,,,,,
whis_155,1960whis3019,,Whiston,,1960,whis3019,Whiston Central,J. Beesley,Con,138,0,1,2,,341,,40.46921,Liverpool Daily Post 1960-05-10 p.7,,,,,,,
whis_156,1960whis3020,,Whiston,,1960,whis3020,Whiston North,B. Jeffery,Con,174,0,1,1,,318,,54.71698,Liverpool Daily Post 1960-05-10 p.7,,,,,,,
whis_157,1960whis3020,,Whiston,,1960,whis3020,Whiston North,W. Myers,Lab,144,0,1,2,,318,,45.28302,Liverpool Daily Post 1960-05-10 p.7,,,,,,,
whis_158,1960whis3021,,Whiston,,1960,whis3021,Whiston South,J. Williams,Lab,266,0,1,1,,400,,66.5,Liverpool Daily Post 1960-05-10 p.7,,,,,,,
whis_159,1960whis3021,,Whiston,,1960,whis3021,Whiston South,J. E. Crossman,Con,134,0,1,2,,400,,33.5,Liverpool Daily Post 1960-05-10 p.7,,,,,,,
